X_UTME,Y_UTMN,TOP_TVD,TOP_MD,ZONE_CODE,WELL,BASE_TVD,BASE_MD,ZONE
460994.9,5933813.29,1643.9376220703125,1692.9376,1,R_A2,1661.794677734375,1710.7947,Valysar
460994.9,5933813.29,1661.794677734375,1710.7947,2,R_A2,1677.85107421875,1726.8511,Therys
460994.9,5933813.29,1677.85107421875,1726.8511,3,R_A2,1686.404541015625,1735.4046,Volon
462753.44,5932869.64,1604.4718017578125,1653.4718,1,R_A3,1622.178955078125,1671.1789,Valysar
462753.44,5932869.64,1622.178955078125,1671.1789,2,R_A3,1633.7335205078125,1682.7335,Therys
462753.44,5932869.64,1633.7335205078125,1682.7335,3,R_A3,1649.3397216796875,1698.3397,Volon
463849.68880478514,5931573.151211523,1628.1982421875,2233.9351855136756,1,R_A4,1641.191650390625,3040.706228577628,Valysar
464220.06868759764,5932289.733486914,1641.191650390625,3040.706228577628,2,R_A4,1641.191650390625,3040.706228577628,Therys
464220.06868759764,5932289.733486914,1641.191650390625,3040.706228577628,3,R_A4,1656.9874267578125,3578.500155053221,Volon
461519.21,5935692.65,1682.3529052734375,1731.3529,1,R_A5,1704.111572265625,1753.1116,Valysar
461519.21,5935692.65,1704.111572265625,1753.1116,2,R_A5,1717.76708984375,1766.7671,Therys
461519.21,5935692.65,1717.76708984375,1766.7671,3,R_A5,1728.1212158203125,1777.1212,Volon
461519.21,5935692.65,1682.3529052734375,1731.3529,1,R_A5,1704.111572265625,1753.1116,Valysar
461519.21,5935692.65,1704.111572265625,1753.1116,2,R_A5,1717.76708984375,1766.7671,Therys
461519.21,5935692.65,1717.76708984375,1766.7671,3,R_A5,1728.1212158203125,1777.1212,Volon
461292.74,5931883.26,1693.9075927734375,1742.9076,1,R_A6,1709.3636474609375,1758.3637,Valysar
461292.74,5931883.26,1709.3636474609375,1758.3637,2,R_A6,1726.320556640625,1775.3205,Therys
461292.74,5931883.26,1726.320556640625,1775.3205,3,R_A6,1734.8739013671875,1783.8739,Volon
