date,total,total_inside,total_outside,total_gas,total_aqueous,total_gas_inside,total_aqueous_inside,total_gas_outside,total_aqueous_outside
2020-01-01,1239082991.814162,1233786285.762642,5296706.051520225,1137828975.7177527,101254016.09640937,1132916228.226054,100870057.53658794,4912747.491698791,383958.5598214338
2040-01-01,1353398788.9796295,1342293548.2002492,11105240.77938057,1242852537.0312917,110546251.948338,1232552315.8649776,109741232.33527161,10300221.16631418,805019.6130663906
2060-01-01,1480244528.2394903,1459078741.7088087,21165786.530681625,1359421037.156262,120823491.08322859,1339789559.8424332,119289181.86637561,19631477.313828647,1534309.2168529767
2080-01-01,1621996099.2275898,1584891579.9479804,37104519.27960928,1489731190.1559992,132264909.0715906,1455316379.8477564,129575200.10022406,34414810.30824274,2689708.9713665424
2100-01-01,1780260508.4068093,1719801802.1271255,60458706.27968375,1635272864.2578545,144987644.14895484,1579196813.456126,140604988.67099947,56076050.80172838,4382655.477955366
2120-01-01,1955694462.829931,1863202571.050483,92491891.77944796,1796660785.0010207,159033677.82891035,1710873636.361435,152328934.68904817,85787148.63958578,6704743.139862186
2140-01-01,2148045191.6434417,2013896839.4587379,134148352.18470396,1973671597.2780955,174373594.36534634,1849247667.7074187,164649171.75131926,124423929.57067686,9724422.614027094
2160-01-01,2356363918.513214,2170231614.088563,186132304.42465073,2165440618.9806733,190923299.53254062,1992801057.186628,177430556.90193498,172639561.79404515,13492742.630605597
2180-01-01,2579290924.4052877,2330264412.1734014,249026512.23188666,2370724697.10119,208566227.30409786,2139750132.6390815,190514279.5343199,230974564.4621087,18051947.769777946
2200-01-01,2815312778.1414833,2491942787.1315346,323369991.00994873,2588139128.064489,227173650.07699424,2288210248.3470984,203732538.78443643,299928879.71739095,23441111.292557787
